Acinar cells,Cancer clone A,Cancer clone B,Ductal - APOL high/hypoxic,Ductal - CRISP3 high/centroacinar like,Ductal - MHC Class II,Ductal - terminal ductal like,Endocrine cells,Endothelial cells,Fibroblasts,Macrophages A,Macrophages B,Mast cells,Monocytes,RBCs,T cells & NK cells,Tuft cells,mDCs A,mDCs B,pDCs
0.0,0.007936507936507936,0.0058823529411764705,0.0,0.007561436672967864,0.003484320557491289,0.0,0.0,0.0,0.0,0.47619047619047616,0.15789473684210525,0.07142857142857142,0.2222222222222222,0.0,0.0,0.0,0.5833333333333334,0.7575757575757576,0.07692307692307693
0.0,0.031746031746031744,0.08823529411764706,0.009302325581395349,0.015122873345935728,0.003484320557491289,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.004651162790697674,0.00945179584120983,0.003484320557491289,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0
0.3076923076923077,0.3253968253968254,0.10588235294117647,0.07441860465116279,0.09829867674858223,0.08013937282229965,0.15142857142857144,0.0,0.0,0.2,0.0,0.05263157894736842,0.14285714285714285,0.0,0.0,0.125,0.21875,0.3333333333333333,0.09090909090909091,0.15384615384615385
0.0,0.10317460317460317,0.023529411764705882,0.05581395348837209,0.05103969754253308,0.04878048780487805,0.06285714285714286,0.0,0.0,0.2,0.14285714285714285,0.05263157894736842,0.0,0.0,0.06666666666666667,0.05,0.0,0.08333333333333333,0.3333333333333333,0.0
0.07692307692307693,0.05555555555555555,0.029411764705882353,0.046511627906976744,0.09073724007561437,0.07665505226480836,0.11714285714285715,0.0,0.09090909090909091,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.03125,0.0,0.0,0.0
0.7692307692307693,1.7698412698412698,1.811764705882353,0.5767441860465117,0.8431001890359168,0.7700348432055749,0.9057142857142857,1.6666666666666667,1.1818181818181819,0.8,1.2380952380952381,0.5263157894736842,4.0,0.4444444444444444,0.26666666666666666,0.475,2.3125,2.1666666666666665,0.7878787878787878,0.7692307692307693
0.0,0.18253968253968253,0.011764705882352941,0.14418604651162792,0.20226843100189035,0.10452961672473868,0.05714285714285714,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.03125,0.08333333333333333,0.0,0.0
0.0,0.0,0.01764705882352941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.015873015873015872,0.0,0.004651162790697674,0.011342155009451797,0.006968641114982578,0.005714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.01764705882352941,0.06511627906976744,0.043478260869565216,0.03484320557491289,0.03142857142857143,0.0,0.8181818181818182,0.0,0.2857142857142857,0.21052631578947367,0.5714285714285714,0.0,0.0,0.4,0.0,0.25,0.21212121212121213,0.6923076923076923
0.0,0.0873015873015873,0.052941176470588235,0.08372093023255814,0.02835538752362949,0.05574912891986063,0.04,0.0,0.09090909090909091,0.0,0.0,0.0,0.35714285714285715,0.05555555555555555,0.06666666666666667,0.1,0.03125,0.16666666666666666,0.030303030303030304,0.38461538461538464
0.0,0.3492063492063492,0.19411764705882353,0.12093023255813953,0.17013232514177692,0.17770034843205576,0.2257142857142857,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1875,0.16666666666666666,0.09090909090909091,0.0
0.0,0.0873015873015873,0.023529411764705882,0.09302325581395349,0.11531190926275993,0.10801393728222997,0.06571428571428571,0.6666666666666666,0.0,0.2,0.09523809523809523,0.0,0.07142857142857142,0.05555555555555555,0.0,0.05,0.0,0.0,0.0,0.07692307692307693
0.0,0.007936507936507936,0.0,0.09302325581395349,0.16068052930056712,0.15331010452961671,0.07714285714285714,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.004651162790697674,0.001890359168241966,0.0,0.0,0.0,7.0,0.8,0.7142857142857143,0.05263157894736842,0.0,0.0,0.0,0.0,0.03125,1.75,2.090909090909091,0.0
0.0,0.15079365079365079,0.5294117647058824,0.05581395348837209,0.005671077504725898,0.006968641114982578,0.008571428571428572,0.0,0.8181818181818182,0.6,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.03125,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.007561436672967864,0.0,0.002857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0873015873015873,0.08235294117647059,0.027906976744186046,0.0831758034026465,0.08013937282229965,0.08857142857142856,0.0,0.2727272727272727,0.2,0.19047619047619047,0.0,0.21428571428571427,0.0,0.0,0.125,0.03125,0.16666666666666666,0.030303030303030304,0.3076923076923077
0.0,0.03968253968253968,0.01764705882352941,0.013953488372093023,0.007561436672967864,0.024390243902439025,0.054285714285714284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.022684310018903593,0.003484320557491289,0.008571428571428572,0.3333333333333333,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
