"","x"
"533","0"
"534","0"
"535","0"
"536","0"
"537","0"
"538","0"
"539","3"
"540","0"
"541","0"
"542","0"
"543","1"
"544","0"
"545","0"
"546","0"
"547","1"
"548","1"
"549","0"
"550","0"
"551","0"
"552","0"
"553","1"
"554","1"
"555","4"
"556","1"
"557","3"
"558","1"
"559","1"
"560","0"
"561","3"
"562","0"
"563","0"
"564","0"
"565","2"
"566","1"
"567","0"
"568","2"
"569","0"
"570","0"
"571","3"
"572","0"
"573","0"
"574","0"
"575","4"
"576","0"
"577","0"
"578","1"
"579","0"
"580","0"
"581","2"
"582","0"
"583","1"
"584","2"
"585","1"
"586","2"
"587","0"
"588","2"
"589","3"
"590","4"
"591","2"
"592","0"
"593","0"
"594","2"
"595","0"
"596","1"
"597","1"
"598","1"
"599","3"
"600","0"
"601","1"
"602","0"
"603","2"
"604","1"
"605","0"
"606","0"
"607","3"
"608","0"
"609","1"
"610","1"
"611","0"
"612","0"
"613","1"
"614","4"
"615","4"
"616","3"
"617","1"
"618","0"
"619","0"
"620","0"
"621","0"
"622","0"
"623","0"
"624","0"
"625","1"
"626","0"
"627","0"
"628","0"
"629","1"
"630","0"
"631","0"
"632","0"
"633","1"
"634","2"
"635","0"
"636","1"
"637","4"
"638","3"
"639","0"
"640","1"
"641","3"
"642","1"
"643","4"
"644","0"
"645","1"
"646","2"
"647","2"
"648","0"
"649","3"
"650","1"
"651","1"
"652","0"
"653","0"
"654","0"
"655","0"
"656","0"
"657","2"
"658","0"
"659","1"
"660","0"
"661","0"
"662","0"
"663","0"
"664","1"
"665","1"
"666","0"
"667","1"
"668","3"
"669","2"
"670","0"
"671","0"
"672","2"
"673","1"
"674","0"
"675","3"
"676","4"
"677","0"
"678","0"
"679","0"
"680","1"
"681","1"
"682","1"
"683","2"
"684","1"
"685","0"
"686","1"
"687","1"
"688","0"
"689","0"
"690","0"
"691","0"
"692","0"
"693","0"
"694","0"
"695","3"
"696","2"
"697","0"
"698","0"
"699","1"
"700","1"
"701","2"
"702","1"
"703","0"
"704","0"
"705","1"
"706","1"
"707","4"
"708","0"
"709","0"
"710","0"
"711","0"
"712","1"
"713","1"
"714","4"
"715","3"
"716","2"
"717","1"
"718","0"
"719","0"
"720","1"
"721","1"
"722","0"
"723","1"
"724","3"
"725","0"
"726","0"
"727","0"
"728","0"
"729","1"
"730","0"
"731","0"
"732","0"
"733","0"
"734","0"
"735","0"
"736","3"
"737","0"
"738","1"
"739","2"
"740","4"
"741","3"
"742","4"
"743","1"
"744","2"
"745","4"
"746","3"
"747","3"
"748","2"
"749","1"
"750","3"
"751","2"
"752","1"
"753","2"
"754","1"
"755","0"
"756","3"
"757","1"
"758","4"
"759","1"
"760","1"
"761","0"
"762","0"
"763","3"
"764","1"
"765","3"
"766","2"
"767","4"
"768","1"
"769","0"
"770","0"
"771","1"
"772","2"
"773","0"
"774","0"
"775","0"
"776","1"
"777","1"
"778","0"
"779","1"
"780","1"
"781","1"
"782","0"
"783","0"
"784","1"
"785","3"
"786","1"
"787","0"
"788","1"
"789","0"
"790","0"
"791","0"
"792","0"
"793","0"
"794","0"
"795","3"
"796","0"
"797","0"
"798","0"
"799","0"
"800","0"
"801","2"
"802","4"
"803","3"
"804","0"
"805","2"
"806","1"
"807","0"
"808","0"
"809","0"
"810","0"
"811","1"
"812","0"
"813","0"
"814","0"
"815","0"
"816","0"
"817","0"
"818","1"
"819","0"
"820","3"
"821","3"
"822","0"
"823","1"
"824","0"
"825","0"
"826","4"
"827","1"
"828","0"
"829","0"
"830","0"
"831","1"
"832","0"
"833","4"
"834","0"
"835","0"
"836","4"
"837","0"
"838","1"
"839","1"
"840","0"
"841","3"
"842","1"
"843","1"
"844","0"
"845","0"
"846","0"
"847","0"
"848","4"
"849","4"
"850","3"
"851","4"
"852","1"
"853","1"
"854","3"
"855","3"
"856","1"
"857","2"
"858","2"
"859","0"
"860","0"
"861","4"
"862","1"
"863","1"
"864","0"
"865","0"
"866","4"
"867","0"
"868","0"
"869","1"
"870","1"
"871","0"
"872","0"
"873","0"
"874","1"
"875","0"
"876","0"
"877","1"
"878","0"
"879","0"
"880","3"
"881","0"
"882","1"
"883","1"
"884","0"
"885","1"
"886","0"
"887","1"
"888","0"
"889","0"
"890","0"
"891","0"
"892","3"
"893","3"
"894","2"
"895","3"
"896","1"
"897","0"
"898","1"
"899","1"
"900","0"
"901","1"
"902","3"
"903","0"
"904","0"
"905","0"
"906","1"
"907","0"
"908","0"
"909","0"
"910","1"
"911","0"
"912","0"
"913","0"
"914","0"
"915","2"
"916","0"
"917","0"
"918","0"
"919","0"
"920","1"
"921","0"
"922","1"
"923","0"
"924","2"
"925","1"
"926","1"
"927","0"
"928","3"
"929","0"
"930","1"
"931","0"
"932","0"
"933","1"
"934","1"
"935","0"
"936","1"
"937","4"
"938","0"
"939","3"
"940","1"
"941","0"
"942","1"
"943","0"
"944","1"
"945","2"
"946","1"
"947","0"
"948","2"
"949","4"
"950","1"
"951","0"
"952","3"
"953","1"
"954","0"
"955","0"
"956","1"
"957","4"
"958","1"
"959","1"
"960","0"
"961","0"
"962","1"
"963","1"
"964","1"
"965","3"
"966","0"
"967","3"
"968","1"
"969","2"
"970","0"
"971","3"
"972","0"
"973","4"
"974","1"
"975","1"
"976","1"
"977","0"
"978","1"
"979","0"
"980","2"
"981","0"
"982","1"
"983","0"
"984","2"
"985","2"
"986","2"
"987","0"
"988","1"
"989","0"
"990","2"
"991","0"
"992","4"
"993","0"
"994","0"
"995","0"
"996","0"
"997","0"
"998","0"
"999","2"
"1000","4"
"1001","0"
"1002","3"
"1003","1"
"1004","0"
"1005","0"
"1006","3"
"1007","0"
"1008","1"
"1009","2"
"1010","0"
"1011","1"
"1012","1"
"1013","4"
"1014","0"
"1015","1"
"1016","0"
"1017","3"
"1018","0"
"1019","0"
"1020","4"
"1021","0"
"1022","1"
"1023","1"
"1024","0"
"1025","4"
"1026","0"
"1027","2"
"1028","0"
"1029","1"
"1030","3"
"1031","4"
"1032","0"
"1033","1"
"1034","0"
"1035","0"
"1036","0"
"1037","1"
"1038","0"
"1039","1"
"1040","3"
"1041","4"
"1042","2"
"1043","4"
"1044","0"
"1045","1"
"1046","1"
"1047","2"
"1048","0"
"1049","0"
"1050","0"
"1051","0"
"1052","0"
"1053","0"
"1054","0"
"1055","1"
"1056","0"
"1057","0"
"1058","0"
"1059","0"
"1060","0"
"1061","0"
"1062","1"
"1063","0"
"1064","4"
"1065","0"
"1066","0"
"1067","2"
"1068","1"
"1069","3"
"1070","4"
"1071","0"
"1072","3"
"1073","4"
"1074","0"
"1075","0"
"1076","1"
"1077","2"
"1078","4"
"1079","0"
"1080","1"
"1081","2"
"1082","0"
"1083","0"
"1084","1"
"1085","0"
"1086","1"
"1087","3"
"1088","1"
"1089","2"
"1090","1"
"1091","0"
"1092","0"
"1093","4"
"1094","4"
"1095","0"
"1096","0"
"1097","1"
"1098","0"
"1099","1"
"1100","0"
"1101","0"
"1102","0"
"1103","0"
"1104","2"
"1105","3"
"1106","4"
"1107","4"
"1108","1"
"1109","1"
"1110","0"
"1111","0"
"1112","0"
"1113","0"
"1114","0"
"1115","0"
"1116","1"
"1117","0"
"1118","0"
"1119","3"
"1120","2"
"1121","0"
"1122","0"
"1123","3"
"1124","0"
"1125","0"
"1126","2"
"1127","4"
"1128","4"
"1129","0"
"1130","0"
"1131","3"
"1132","0"
"1133","3"
"1134","0"
"1135","1"
"1136","1"
"1137","0"
"1138","0"
"1139","2"
"1140","0"
"1141","1"
"1142","1"
"1143","0"
"1144","0"
"1145","0"
"1146","1"
"1147","1"
"1148","1"
"1149","0"
"1150","1"
"1151","0"
"1152","2"
"1153","0"
"1154","0"
"1155","1"
"1156","2"
"1157","0"
"1158","1"
"1159","3"
"1160","4"
"1161","0"
"1162","2"
"1163","0"
"1164","1"
"1165","1"
"1166","0"
"1167","1"
"1168","0"
"1169","1"
"1170","4"
"1171","1"
"1172","1"
"1173","1"
"1174","2"
"1175","3"
"1176","0"
"1177","0"
"1178","0"
"1179","1"
"1180","2"
"1181","0"
"1182","1"
"1183","1"
"1184","1"
"1185","4"
"1186","1"
"1187","3"
"1188","0"
"1189","0"
"1190","4"
"1191","1"
"1192","1"
"1193","2"
"1194","4"
"1195","4"
"1196","4"
"1197","0"
"1198","3"
"1199","3"
"1200","1"
"1201","1"
"1202","4"
"1203","0"
"1204","0"
"1205","0"
"1206","0"
"1207","0"
"1208","3"
"1209","1"
"1210","0"
"1211","0"
"1212","1"
"1213","0"
"1214","1"
"1215","1"
"1216","4"
"1217","0"
"1218","0"
"1219","0"
"1220","0"
"1221","2"
"1222","3"
"1223","4"
"1224","2"
"1225","0"
"1226","4"
"1227","4"
"1228","1"
"1229","0"
"1230","0"
