"CT1","CT2","CT3","CT4"
0.192677952341211,0.778636628082199,0.00981052784662345,0.0188748917299669
0.00450884332062875,0.00447822317248536,0.196087039784162,0.794925893722724
0.165709317448965,0.00526153310900093,0.16534471399069,0.663684435451344
0.00453611676072328,0.00470056735409455,0.197960579096497,0.792802736788685
0.00458797839844078,0.00452396593801979,0.197470185357103,0.793417870306437
0.00449852425839494,0.00448368908175867,0.198397505381067,0.792620281278779
0.0069171635409228,0.00505220752500468,0.198805517214808,0.789225111719264
0.00761151821788709,0.0042734857007778,0.0077714961660345,0.980343499915301
0.192761604338062,0.778437939139916,0.0096191494870042,0.0191813070350183
0.192798208489131,0.779715191102845,0.0106293905568662,0.0168572098511581
0.192679850778397,0.780271075487385,0.0109616305554014,0.0160874431788166
0.191491907406396,0.780621623361942,0.0102585037582486,0.0176279654734135
0.164015835487157,0.66196923690182,0.013551509699841,0.160463417911181
0.190210972037601,0.781024987494801,0.00977743761571444,0.0189866028518836
0.190152968775176,0.780388199031636,0.0107770192131871,0.0186818129800011
0.00455156731756403,0.00449639583888394,0.195624241658929,0.795327795184623
0.193236792396134,0.778229494660022,0.0101030587567668,0.0184306541870779
0.00454611754546562,0.00448314106449224,0.19609766700184,0.794873074388202
0.0044625301616937,0.00453361591803254,0.196769649322981,0.794234204597293
0.00451256776792226,0.00463867774486295,0.197372892797799,0.793475861689416
0.00446455507809984,0.0045907323206687,0.197614403840362,0.79333030876087
0.00474736399489057,0.00469372385380558,0.198292222480989,0.792266689670315
0.00687709349662469,0.00501066241075576,0.200167709027473,0.787944535065147
0.00985175144034023,0.00486636791581136,0.0081202346455952,0.977161645998253
0.192265008896741,0.77874057133763,0.00994771071555579,0.0190467090500732
0.323362084301271,0.648332655461866,0.0100270771296926,0.0182781831071702
0.192157871106432,0.779561550057081,0.0101386989594684,0.0181418798770182
0.191183255801938,0.78000090643841,0.0102028438737148,0.0186129938859366
0.190739713939899,0.78023922283874,0.0103759871985017,0.0186450760228593
0.190590566996851,0.780541351090242,0.0103578622500377,0.0185102196628701
0.190207613664682,0.780246565989241,0.0100790173436711,0.0194668030024055
0.00452737643155537,0.00452160530432073,0.195868832977972,0.795082185286152
0.192414748561867,0.778566219800072,0.00987358483288702,0.0191454468051736
0.00447876178521599,0.00448485592960842,0.196095165767389,0.794941216517786
0.0044953653087489,0.0043913809827851,0.196601921553303,0.794511332155163
0.00450284159363242,0.00476880508421115,0.197506255013394,0.793222098308762
0.00470604506846882,0.0046459770673054,0.197890175449068,0.792757802415158
0.00570432194328454,0.00460445049097654,0.199236679361917,0.790454548203821
0.00673237042971161,0.00483590114441924,0.200940391286514,0.787491337139355
0.00929216900876335,0.00544420969083898,0.0080273298180105,0.977236291482387
0.192067441230722,0.779814224765097,0.0104927841087377,0.0176255498954434
0.191617423028304,0.77964319630306,0.0101303636295147,0.0186090170391209
0.191414976060746,0.780043070675146,0.01015058992255,0.0183913633415576
0.19079373734579,0.780184897815102,0.0103071600110437,0.0187142048280647
0.190507335938654,0.78162727064256,0.0103243608484667,0.0175410325703193
0.190083742697666,0.781423419852245,0.00974349935997531,0.0187493380901135
0.190454145212843,0.780397225586868,0.00984416207488035,0.0193044671254095
0.00452721595771474,0.00445678684795737,0.195754342963367,0.795261654230961
0.19109843922482,0.779929260279501,0.0107698168524403,0.0182024836432385
0.00449607833876698,0.00446094434593928,0.19595932550116,0.795083651814134
0.00452066790228441,0.00443075179843414,0.196392599566022,0.794655980733259
0.00454675195655647,0.00456535793819379,0.197178719766449,0.7937091703388
0.00447703149585154,0.00466355348700846,0.197543359712587,0.793316055304553
0.00627665742042065,0.00460841399393985,0.198696808794455,0.790418119791185
0.00707143912225117,0.00470713546698042,0.00744626103024664,0.980775164380522
0.00796020138138422,0.005078215497168,0.00799265981231866,0.978968923309129
0.191208276908592,0.78058785565247,0.0107459696272852,0.0174578978116523
0.190266504762702,0.780752138451084,0.00991640417854909,0.0190649526076657
0.190329924478651,0.780889526834016,0.0103958125314919,0.0183847361558416
0.190210514999739,0.781463798373078,0.0103611586026652,0.0179645280245171
0.189965660696858,0.781241358675595,0.0106321394853826,0.0181608411421645
0.189560646368411,0.781716654538185,0.011040874837054,0.0176818242563507
0.189882629532945,0.780360906508406,0.0108365063759441,0.0189199575827052
0.00447692128866865,0.00449598579118329,0.195501478900938,0.79552561401921
0.137861993157938,0.567162610322148,0.0141949474037687,0.280780449116145
0.00445349413328444,0.00449067337242529,0.197023638898931,0.794032193595359
0.00452647633739703,0.00441910408957564,0.196751652683838,0.794302766889189
0.0045337656352353,0.00446383120746767,0.196957370703171,0.794045032454126
0.00443764979172138,0.00447216339865017,0.197976147640191,0.793114039169437
0.00668001572235326,0.00452358582007404,0.198036559901429,0.790759838556144
0.00581348009666695,0.00432207158719796,0.00708393216619016,0.982780516149945
0.00836294386166704,0.0057795178696222,0.00784549096997817,0.978012047298732
