cell    bio_celltype
Cell1129	Ductal - APOL high/hypoxic
Cell113	Ductal - CRISP3 high/centroacinar like
Cell1130	Ductal - terminal ductal like
Cell1131	Ductal - terminal ductal like
Cell1132	Cancer clone B
Cell1133	Ductal - CRISP3 high/centroacinar like
Cell1134	Tuft cells
Cell1135	Cancer clone A
Cell1136	Ductal - CRISP3 high/centroacinar like
Cell1137	Ductal - terminal ductal like
Cell1138	Ductal - MHC Class II
Cell1139	Ductal - terminal ductal like
Cell114	Ductal - CRISP3 high/centroacinar like
Cell1140	Cancer clone B
Cell1141	Acinar cells
Cell1142	Cancer clone A
Cell1143	Ductal - CRISP3 high/centroacinar like
Cell1144	Ductal - MHC Class II
Cell1145	Cancer clone A
Cell1146	Ductal - terminal ductal like
Cell1147	Ductal - APOL high/hypoxic
Cell1148	Cancer clone A
Cell1149	Cancer clone B
Cell115	Ductal - CRISP3 high/centroacinar like
Cell1150	Ductal - terminal ductal like
Cell1151	Ductal - CRISP3 high/centroacinar like
Cell1152	Ductal - CRISP3 high/centroacinar like
Cell1153	mDCs B
Cell1154	Ductal - APOL high/hypoxic
Cell1155	Cancer clone B
Cell1156	Cancer clone A
Cell1157	Ductal - CRISP3 high/centroacinar like
Cell1158	Ductal - terminal ductal like
Cell1159	Ductal - terminal ductal like
Cell116	Ductal - MHC Class II
Cell1160	Ductal - APOL high/hypoxic
Cell1161	Ductal - CRISP3 high/centroacinar like
Cell1162	Ductal - APOL high/hypoxic
Cell1163	Ductal - CRISP3 high/centroacinar like
Cell1164	Ductal - CRISP3 high/centroacinar like
Cell1165	Cancer clone B
Cell1166	Ductal - APOL high/hypoxic
Cell1167	Ductal - CRISP3 high/centroacinar like
Cell1168	Ductal - MHC Class II
Cell1169	Ductal - CRISP3 high/centroacinar like
Cell117	Ductal - MHC Class II
Cell1170	Ductal - MHC Class II
Cell1171	Ductal - terminal ductal like
Cell1172	Ductal - MHC Class II
Cell1173	Ductal - terminal ductal like
Cell1174	Ductal - APOL high/hypoxic
Cell1175	Ductal - MHC Class II
Cell1176	Cancer clone A
Cell1177	Ductal - terminal ductal like
Cell1178	Ductal - MHC Class II
Cell1179	Ductal - APOL high/hypoxic
Cell118	Ductal - CRISP3 high/centroacinar like
Cell1180	Cancer clone B
Cell1181	Ductal - CRISP3 high/centroacinar like
Cell1182	Ductal - MHC Class II
Cell1183	Ductal - terminal ductal like
Cell1184	Ductal - CRISP3 high/centroacinar like
Cell1185	Ductal - MHC Class II
Cell1186	Ductal - terminal ductal like
Cell1187	Ductal - terminal ductal like
Cell1188	Ductal - MHC Class II
Cell1189	Ductal - MHC Class II
Cell119	Ductal - APOL high/hypoxic
Cell1190	Ductal - MHC Class II
Cell1191	Ductal - MHC Class II
Cell1192	Ductal - terminal ductal like
Cell1193	Cancer clone B
Cell1194	Ductal - terminal ductal like
Cell1195	Ductal - APOL high/hypoxic
Cell1196	Ductal - terminal ductal like
Cell1197	Ductal - CRISP3 high/centroacinar like
Cell1198	Ductal - MHC Class II
Cell1199	Ductal - APOL high/hypoxic
Cell12	Cancer clone B
Cell120	Ductal - MHC Class II
Cell1200	Cancer clone B
Cell1201	Ductal - APOL high/hypoxic
Cell1202	Ductal - MHC Class II
Cell1203	Ductal - terminal ductal like
Cell1204	Ductal - terminal ductal like
Cell1205	Ductal - MHC Class II
Cell1206	Cancer clone A
Cell1207	Ductal - CRISP3 high/centroacinar like
Cell1208	Ductal - CRISP3 high/centroacinar like
Cell1209	Ductal - CRISP3 high/centroacinar like
Cell121	Ductal - MHC Class II
Cell1210	Ductal - APOL high/hypoxic
Cell1211	Ductal - CRISP3 high/centroacinar like
Cell1212	Ductal - CRISP3 high/centroacinar like
Cell1213	Ductal - APOL high/hypoxic
Cell1214	Ductal - CRISP3 high/centroacinar like
Cell1215	Ductal - APOL high/hypoxic
Cell1216	Ductal - terminal ductal like
Cell1217	Ductal - CRISP3 high/centroacinar like
Cell1218	Ductal - MHC Class II
Cell1219	Ductal - CRISP3 high/centroacinar like
Cell122	Ductal - CRISP3 high/centroacinar like
Cell1220	Monocytes
Cell1221	Ductal - APOL high/hypoxic
Cell1222	Cancer clone B
Cell1223	Ductal - CRISP3 high/centroacinar like
Cell1224	Tuft cells
Cell1225	Macrophages A
Cell1226	Ductal - terminal ductal like
Cell1227	Ductal - CRISP3 high/centroacinar like
Cell1228	Macrophages B
Cell1229	T cells & NK cells
Cell123	Ductal - terminal ductal like
Cell1230	Ductal - terminal ductal like
Cell1231	Ductal - CRISP3 high/centroacinar like
Cell1232	Cancer clone B
Cell1233	Ductal - CRISP3 high/centroacinar like
Cell1234	Ductal - terminal ductal like
Cell1235	Ductal - CRISP3 high/centroacinar like
Cell1236	Ductal - MHC Class II
Cell1237	Ductal - CRISP3 high/centroacinar like
Cell1238	Cancer clone B
Cell1239	Ductal - MHC Class II
Cell124	Ductal - APOL high/hypoxic
Cell1240	Cancer clone B
Cell1241	Ductal - CRISP3 high/centroacinar like
Cell1242	Tuft cells
Cell1243	Ductal - terminal ductal like
Cell1244	Endothelial cells
Cell1245	Ductal - terminal ductal like
Cell1246	Ductal - APOL high/hypoxic
Cell1247	Ductal - terminal ductal like
Cell1248	Ductal - terminal ductal like
Cell1249	Ductal - CRISP3 high/centroacinar like
Cell125	Ductal - APOL high/hypoxic
Cell1250	Ductal - APOL high/hypoxic
Cell1251	Ductal - terminal ductal like
Cell1252	Ductal - MHC Class II
Cell1253	Ductal - CRISP3 high/centroacinar like
Cell1254	Ductal - APOL high/hypoxic
Cell1255	Ductal - MHC Class II
Cell1256	Ductal - terminal ductal like
Cell1257	Ductal - APOL high/hypoxic
Cell1258	mDCs B
Cell1259	Ductal - APOL high/hypoxic
Cell126	Macrophages A
Cell1260	Ductal - CRISP3 high/centroacinar like
