CellID,x,y
10x13,10,13
10x14,10,14
10x15,10,15
10x16,10,16
10x17,10,17
10x19,10,19
10x20,10,20
10x21,10,21
10x22,10,22
10x23,10,23
10x24,10,24
10x25,10,25
10x26,10,26
11x10,11,10
11x11,11,11
11x13,11,13
11x14,11,14
11x15,11,15
11x16,11,16
11x17,11,17
11x19,11,19
11x20,11,20
11x21,11,21
11x22,11,22
11x23,11,23
11x24,11,24
11x25,11,25
11x26,11,26
11x7,11,7
11x8,11,8
11x9,11,9
12x10,12,10
12x11,12,11
12x13,12,13
12x14,12,14
12x15,12,15
12x16,12,16
12x17,12,17
12x19,12,19
12x20,12,20
12x21,12,21
12x22,12,22
12x23,12,23
12x24,12,24
12x25,12,25
12x26,12,26
12x27,12,27
12x7,12,7
12x8,12,8
12x9,12,9
13x10,13,10
13x11,13,11
13x13,13,13
13x14,13,14
13x15,13,15
13x16,13,16
13x17,13,17
13x19,13,19
13x20,13,20
13x21,13,21
13x22,13,22
13x23,13,23
13x24,13,24
13x25,13,25
13x26,13,26
13x27,13,27
13x9,13,9
14x10,14,10
14x11,14,11
14x13,14,13
14x14,14,14
14x15,14,15
14x16,14,16
14x17,14,17
14x18,14,18
14x19,14,19
14x20,14,20
14x21,14,21
14x22,14,22
14x23,14,23
14x24,14,24
14x25,14,25
14x26,14,26
14x27,14,27
14x28,14,28
14x9,14,9
15x10,15,10
15x11,15,11
15x13,15,13
15x14,15,14
15x15,15,15
15x16,15,16
15x17,15,17
15x18,15,18
15x19,15,19
15x20,15,20
15x21,15,21
15x22,15,22
15x23,15,23
15x24,15,24
15x25,15,25
15x26,15,26
15x27,15,27
15x28,15,28
15x8,15,8
15x9,15,9
16x10,16,10
16x11,16,11
16x13,16,13
16x14,16,14
16x15,16,15
16x16,16,16
16x17,16,17
16x18,16,18
16x19,16,19
16x20,16,20
16x21,16,21
16x22,16,22
16x23,16,23
16x24,16,24
16x25,16,25
16x26,16,26
16x27,16,27
16x28,16,28
16x7,16,7
16x8,16,8
16x9,16,9
17x10,17,10
17x11,17,11
17x13,17,13
17x14,17,14
17x15,17,15
17x16,17,16
17x17,17,17
17x18,17,18
17x19,17,19
17x20,17,20
17x21,17,21
17x22,17,22
17x23,17,23
17x24,17,24
17x25,17,25
17x26,17,26
17x28,17,28
17x7,17,7
17x8,17,8
17x9,17,9
18x10,18,10
18x11,18,11
18x13,18,13
18x14,18,14
18x15,18,15
18x16,18,16
18x17,18,17
18x18,18,18
18x19,18,19
18x20,18,20
18x21,18,21
18x22,18,22
18x23,18,23
18x24,18,24
18x25,18,25
18x26,18,26
18x28,18,28
18x29,18,29
18x7,18,7
19x10,19,10
19x11,19,11
19x13,19,13
19x14,19,14
19x15,19,15
19x17,19,17
19x18,19,18
19x19,19,19
19x20,19,20
19x21,19,21
19x22,19,22
19x23,19,23
19x24,19,24
19x25,19,25
19x26,19,26
19x27,19,27
19x28,19,28
19x29,19,29
19x7,19,7
20x11,20,11
20x13,20,13
20x14,20,14
20x15,20,15
20x16,20,16
20x17,20,17
20x18,20,18
20x19,20,19
20x20,20,20
20x21,20,21
20x22,20,22
20x23,20,23
20x24,20,24
20x26,20,26
20x27,20,27
20x28,20,28
20x29,20,29
21x11,21,11
21x13,21,13
21x14,21,14
21x15,21,15
21x16,21,16
21x17,21,17
21x18,21,18
21x19,21,19
21x20,21,20
21x21,21,21
21x22,21,22
21x23,21,23
21x24,21,24
21x26,21,26
21x27,21,27
21x28,21,28
21x29,21,29
21x9,21,9
22x13,22,13
22x14,22,14
22x15,22,15
22x16,22,16
22x17,22,17
22x18,22,18
22x19,22,19
22x20,22,20
22x21,22,21
22x24,22,24
22x27,22,27
22x28,22,28
22x29,22,29
22x30,22,30
22x9,22,9
23x10,23,10
23x13,23,13
23x14,23,14
23x16,23,16
23x17,23,17
23x18,23,18
23x20,23,20
23x25,23,25
23x26,23,26
23x27,23,27
23x28,23,28
24x10,24,10
24x11,24,11
24x13,24,13
24x14,24,14
24x16,24,16
24x17,24,17
24x18,24,18
24x19,24,19
24x20,24,20
24x26,24,26
24x28,24,28
24x9,24,9
25x10,25,10
25x11,25,11
25x13,25,13
25x14,25,14
25x15,25,15
25x17,25,17
25x18,25,18
25x19,25,19
25x29,25,29
25x30,25,30
25x9,25,9
26x11,26,11
26x13,26,13
26x14,26,14
26x15,26,15
26x16,26,16
26x19,26,19
26x20,26,20
26x27,26,27
26x28,26,28
26x29,26,29
27x11,27,11
27x12,27,12
27x13,27,13
27x16,27,16
27x20,27,20
27x23,27,23
27x26,27,26
27x28,27,28
28x11,28,11
28x12,28,12
28x16,28,16
28x21,28,21
28x22,28,22
28x23,28,23
7x20,7,20
7x23,7,23
7x24,7,24
8x18,8,18
8x19,8,19
8x20,8,20
8x21,8,21
8x22,8,22
8x23,8,23
8x24,8,24
8x25,8,25
9x15,9,15
9x16,9,16
9x17,9,17
9x18,9,18
9x19,9,19
9x20,9,20
9x21,9,21
9x22,9,22
9x23,9,23
9x24,9,24
9x25,9,25
9x26,9,26
