"","CT1","CT2","CT3","CT4"
"X4_2",0.214554674413728,0.238394477670441,0.358334859777441,0.18871598813839
"X4_3",0.214282123722322,0.238355684070968,0.358524699901613,0.188837492305097
"X4_4",0.214306960777258,0.238334518541232,0.358487610771315,0.188870909910195
"X4_5",0.214086243945132,0.238390841539141,0.35857476471695,0.188948149798777
"X4_6",0.214085793070064,0.238247148532016,0.358619589430166,0.189047468967754
"X4_7",0.214086915619933,0.2382774818906,0.358510023328126,0.189125579161341
"X4_8",0.214086929117776,0.238279171507253,0.358508697642888,0.189125201732083
"X4_9",0.38011776625703,0.194814932235088,0.193435374740877,0.231631926767005
"X5_1",0.214489405302719,0.238723320121995,0.358155508770357,0.188631765804929
"X5_10",0.380484961334489,0.194813979376849,0.193441888136462,0.2312591711522
"X5_11",0.380666002071244,0.194813509582539,0.193445099481078,0.231075388865138
"X5_12",0.380983066375119,0.194812686811884,0.19345072364481,0.230753523168187
"X5_13",0.381344051458232,0.194811468470851,0.193481430178611,0.230363049892305
"X5_14",0.38180873617375,0.194810544227958,0.193465369576498,0.229915350021794
"X5_15",0.3558744057163,0.194877634712507,0.193023307604768,0.256224651966424
"X5_16",0.382225539913355,0.194809077116453,0.193506035319744,0.229459347650448
"X5_2",0.214462114379111,0.238553768989762,0.358360659390641,0.188623457240486
"X5_3",0.214444781147462,0.238396821188255,0.35854242900708,0.188615968657203
"X5_4",0.214325598755835,0.23837892186204,0.358594597115993,0.188700882266132
"X5_5",0.21408473352109,0.238433761458321,0.358721668819316,0.188759836201272
"X5_6",0.21408498216616,0.238370366330392,0.358697835591225,0.188846815912222
"X5_7",0.214085851453563,0.238380208469793,0.358613073893536,0.188920866183108
"X5_8",0.214086289862326,0.238414014636885,0.358570146696538,0.18892954880425
"X5_9",0.380434133952,0.194814111272109,0.193440986547989,0.231310768227902
"X6_1",0.214503643590302,0.238659620294282,0.358207466708855,0.188629269406561
"X6_10",0.380814847760677,0.194813123333239,0.193447739742117,0.230924289163967
"X6_11",0.381027254010256,0.194812572146534,0.193451507455828,0.230708666387382
"X6_12",0.381312741131083,0.194811831317552,0.193456571495807,0.230418856055558
"X6_13",0.381466724356737,0.194821281195776,0.193459343557371,0.230252650890116
"X6_14",0.381450007670218,0.194811103379179,0.193491089112623,0.23024779983798
"X6_15",0.382239251343811,0.194809257158168,0.193487669230888,0.229463822267134
"X6_16",0.382526172663502,0.194807609787007,0.193570676695747,0.229095540853744
"X6_2",0.214449797519558,0.238630169735121,0.358293459856701,0.18862657288862
"X6_3",0.214436362073719,0.238535330932882,0.35840633481626,0.18862197217714
"X6_4",0.214229244898505,0.238493210728657,0.358662749513706,0.188614794859132
"X6_5",0.214086691242827,0.238566950124591,0.358731891689115,0.188614466943467
"X6_6",0.214084233890273,0.238466002286672,0.358770150876421,0.188679612946634
"X6_7",0.214084887394528,0.238472057747172,0.358706437917567,0.188736616940732
"X6_8",0.245925924636849,0.225365498847874,0.30912074590997,0.219587830605306
"X6_9",0.38075232336993,0.194813285581822,0.193446630669268,0.23098776037898
"X7_1",0.214457027681045,0.23869233758326,0.35822108627978,0.188629548455914
"X7_10",0.381058467276628,0.194937491181026,0.193452577265237,0.230551464277109
"X7_11",0.381189990447777,0.194870734297316,0.193454636016902,0.230484639238006
"X7_12",0.381407425840841,0.19481065991196,0.193538143821995,0.230243770425204
"X7_13",0.381309710412725,0.194809881339858,0.193625489452278,0.23025491879514
"X7_14",0.381767824712551,0.194810137053399,0.193508947581395,0.229913090652655
"X7_15",0.382524826532663,0.194807963735795,0.193540406720523,0.22912680301102
"X7_16",0.382731214855144,0.194806320651341,0.193639651764547,0.228822812728969
"X7_2",0.214575913823027,0.238532000444899,0.358266701246,0.188625384486074
"X7_3",0.214553772898486,0.238533224133937,0.358288128654994,0.188624874312583
"X7_4",0.214482738374729,0.238487271301888,0.35840899210655,0.188620998216833
"X7_5",0.214084363667057,0.238545191873035,0.358757013762005,0.188613430697903
"X7_6",0.214192246660654,0.238433289109318,0.358763303875342,0.188611160354686
"X7_7",0.21415288497471,0.238367514592609,0.358872397671778,0.188607202760904
"X7_8",0.214081865585961,0.23829954291839,0.359001945132135,0.188616646363514
"X7_9",0.380991022813533,0.19483259972677,0.193450947086239,0.230725430373457
"X8_1",0.214623314909481,0.238664764288256,0.358079366040042,0.18863255476222
"X8_10",0.381195930305032,0.194868229258779,0.193454731099559,0.230481109336629
"X8_11",0.381366565894481,0.194912878901926,0.193457944067501,0.230262611136093
"X8_12",0.381472312106996,0.194856734810521,0.193523854178014,0.230147098904469
"X8_13",0.381494784174172,0.194842237033418,0.193503543026445,0.230159435765965
"X8_14",0.381562890910634,0.194811067586493,0.193470899380407,0.230155142122467
"X8_15",0.382501967849614,0.194917071579753,0.193663935689685,0.228917024880949
"X8_16",0.382862776503827,0.194869607681983,0.193747988519637,0.228519627294554
"X8_2",0.214801467887134,0.238463071409297,0.358107413890016,0.188628046813553
"X8_3",0.214756008273951,0.238470019001773,0.358146774280829,0.188627198443448
"X8_4",0.2145885142179,0.238450470902625,0.358338969062395,0.18862204581708
"X8_5",0.214168401804868,0.238482066236124,0.358736790353512,0.188612741605497
"X8_6",0.214150605206684,0.238417203621364,0.358822815806563,0.188609375365389
"X8_7",0.214138283817772,0.238363586920368,0.358891475504811,0.18860665375705
"X8_8",0.21408305681401,0.238423888700853,0.358885103055552,0.188607951429585
"X8_9",0.381052052750606,0.194974531722862,0.193452616359153,0.230520799167379
"X9_1",0.256416587926556,0.356677790418292,0.191908159865243,0.194997461789909
"X9_10",0.252083172200337,0.19475368576139,0.225124596017626,0.328038546020648
"X9_11",0.215386996196895,0.194760490461678,0.232104814517897,0.35774769882353
"X9_12",0.215388556067656,0.194862377176183,0.232280223446901,0.35746884330926
"X9_13",0.2154297215254,0.194758525232981,0.232265612884723,0.357546140356896
"X9_14",0.215383722661839,0.194756802260468,0.232423800049594,0.357435675028098
"X9_15",0.216234166667549,0.194824981721538,0.232512924519942,0.356427927090971
"X9_16",0.217541601153341,0.195307981630465,0.190890794705163,0.396259622511031
"X9_2",0.256491875306373,0.356602915843033,0.19190918697123,0.194996021879364
"X9_3",0.25657427566913,0.356520967285685,0.191910311115888,0.194994445929298
"X9_4",0.256369536204468,0.356724584153378,0.191907517963433,0.194998361678721
"X9_5",0.25629810353446,0.356795625154399,0.191906543445218,0.194999727865923
"X9_6",0.256256643772719,0.356836857590143,0.191905977831572,0.195000520805566
"X9_7",0.256078312560826,0.356907555149332,0.1920149891273,0.194999143162541
"X9_8",0.256131751128656,0.356826115565779,0.192045282445385,0.194996850860181
"X9_9",0.215389330489228,0.194763120444144,0.231877352319349,0.357970196747278
